agency_name,agency_url,description
Highway Traffic Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/highway-traffic-board,"The Highway Traffic Board is an independent quasi-judicial administrative tribunal responsible for hearing appeals for a number of programs administered by Saskatchewan Government Insurance (SGI), as well as administering other transportation regulatory functions."
Justices of the Peace Compensation Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/justices-of-the-peace-compensation-commission,"The Commission is established every four years under the The Justices of the Peace Act, 1988 in order to conduct an independent, objective review of salaries, benefits and pensions for Justices of the Peace."
Law Reform Commission of Saskatchewan,https://lawreformcommission.sk.ca/,The Commission’s purpose is to review the law in Saskatchewan with a view to its systematic modernization and simplification.
Legal Aid Saskatchewan,https://legalaid.sk.ca/,"The mission of Legal Aid Saskatchewan is to ""promote access to justice for eligible persons through the provision of quality legal assistance."" Legal Aid Saskatchewan is governed by the Saskatchewan Legal Aid Commission which was created through the provincial Legal Aid Act."
Municipal Finance Corporation,https://www.saskatchewan.ca/government/municipal-administration/funding-finances-and-asset-management/funding/municipal-financing-corporation-of-sk,"Municipal Financing Corporation of Saskatchewan (MFC) assists in making capital funds available for the financing of sewer and water, school, hospital, and other essential construction and local improvement projects by municipalities, school divisions and health districts."
Office of Disability Issues,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/office-of-disability-issues,"The Office of Disability Issues (ODI), hosted by the Ministry of Social Services, provides leadership and works with other government ministries, the disability community and the public to help work toward making Saskatchewan the best place to live in Canada for people with disabilities."
Office of Residential Tenancies,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/office-of-residential-tenancies,"Information for landlords and tenants on their rights and responsibilities, and dispute resolution for claims up to $30,000 and possession orders."
Office of the Public Guardian and Trustee,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/office-of-the-public-guardian-and-trustee,The Office of the Public Guardian and Trustee is responsible for protecting the interests of vulnerable people.
Physician Recruitment Agency of Saskatchewan,https://www.saskdocs.ca/,"saskdocs is a one stop shop for physicians and their families wanting to live and work in Saskatchewan Canada. Also known as the Physician Recruitment Agency of Saskatchewan, we work in partnership with students, medical trainees, physicians, international medical graduates, communities, health facilities and other partners to help find the right physician for the right community."
Plannera Pensions and Benefits (formerly the Public Employees Benefits Agency [PEBA]),https://www.plannera.ca/,"Effective January 1, 2024, PEBA transitioned to a non-profit called Plannera Pensions and Benefits. Public pension or benefit plan information is available by visiting the Plannera website or by calling 306-787-2684."
Provincial Archives of Saskatchewan,https://www.saskarchives.com/,The Provincial Archives of Saskatchewan serves as the provincial agency responsible for acquiring preserving and making available records of significance to the history of the Province of Saskatchewan.
Provincial Capital Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/provincial-capital-commission,"The Provincial Capital Commission's mandate is to enhance quality of life for our citizens through the celebration and creation of opportunities, stewardship of the land, and engagement of our youth about our democracy and provincial history. The Commission also promotes, preserves and strengthens our diverse heritage and culture to ensure that Saskatchewan’s Capital City is a source of provincial pride and significance."
Provincial Mediation Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/provincial-mediation-board,The Provincial Mediation Board strives to help debtors and creditors reach an amicable arrangement for payment of debt without resorting to legal proceedings.
Public and Private Rights Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/public-and-private-rights-board,Find out how the Public and Private Rights Board assists with mediation in disputes between landowners and expropriating authorities.
Public Disclosure Committee,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/public-disclosure-committee,Learn more about this committee's role in advising police on whether to release information about dangerous offenders who are returning to the community.
Public Service Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/public-service-commission,The Public Service Commission is the central human resource agency for the Government of Saskatchewan.
Saskatchewan Arts Board,https://sk-arts.ca,The Saskatchewan Arts Board provides funding and support to the arts for the benefit of all people in Saskatchewan.
Saskatchewan Coroners Service,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-coroners-service,"The Saskatchewan Coroners Service is responsible for the investigation of all sudden, unexpected and unnatural deaths in order to improve the health, safety, and quality of life of the citizens of our province."
Saskatchewan Firearms Office,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-firearms-office,"The Saskatchewan Firearms Office is responsible for supporting safe communities by managing the ownership, purchase, movement and use of firearms within the province through the administration of federal firearms legislation."
Saskatchewan Health Quality Council,https://www.saskhealthquality.ca/,"Saskatchewan Health Quality Council (HQC) works with care providers, governments, research institutes to improve quality of health care in Saskatchewan."
Saskatchewan Health Research Foundation (SHRF),https://www.shrf.ca/,"The Saskatchewan Health Research Foundation (SHRF) funds the work of researchers, supports efforts that grow the province's research enterprise, and promotes knowledge that results from health research."
Saskatchewan Heritage Foundation,https://www.saskheritagefoundation.com/,"The Saskatchewan Heritage Foundation provides grants to individuals, community groups, municipalities and corporations working to preserve our heritage."
Saskatchewan Higher Education Quality Assurance Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-higher-education-quality-assurance-board,The Saskatchewan Higher Education Quality Assurance Board is authorized by The Degree Authorization Act to oversee a quality assurance review of institutions seeking degree-granting status in Saskatchewan. The quality assurance review process ensures that new degree programs in Saskatchewan meet high quality standards that promote the recognition of Saskatchewan graduates both nationally and internationally for their academic achievements.
Saskatchewan Human Rights Commission (SHRC),https://saskhrc.ca,"Saskatchewan Human Rights Commission (SHRC) promotes and protects the individual dignity, fundamental freedoms and equal rights of Saskatchewan citizens."
Saskatchewan Labour Relations Board,https://www.sasklabourrelationsboard.com/,"The Board administers The Trade Union Act, The Construction Industry Labour Relations Act, 1992 and The Health Labour Relations Reorganization Act and The Public Service Essential Services Act. These laws apply to most unionized employees in Saskatchewan. They do not generally apply to non-unionized employees or to employees, unionized or otherwise, of companies which fall under federal jurisdiction such as telecommunications companies or airlines."
Saskatchewan Lotteries System,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-lotteries,"Through an agreement with the Government of Saskatchewan, proceeds from Saskatchewan Lotteries are dedicated to sport, culture and recreation organizations to benefit communities throughout the province."
Saskatchewan Municipal Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-municipal-board,"The Saskatchewan Municipal Board (SMB) is an administrative tribunal that deals with issues from local authorities.  
Additionally, the SMB serves as the Board of Revenue Commissioners (BRC)."
Saskatchewan Pension Plan,https://www.saskpension.com/,"Saskatchewan Pension Plan (SPP or ""The Plan"") is a voluntary, money purchase plan for people who want an easy way to accumulate funds for retirement. It truly is meant to be your plan, so that it fits your personal situation."
Saskatchewan Police Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-police-commission,The Saskatchewan Police Commission works with police services and boards of police commissioners to promote effective policing throughout the province.
Saskatchewan Provincial Court Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-provincial-court-commission,"The Commission is established every three years under The Provincial Court Act, 1998 in order to conduct an independent, objective review of salaries, benefits and pensions for Provincial Court judges."
Saskatchewan Public Complaints Commission,https://www.saskatchewan.ca/residents/justice-crime-and-the-law/your-rights-and-the-law/make-a-complaint-about-the-police-service,"The Public Complaints Commission (PCC) is a five-person, non-police body appointed by the Saskatchewan Government that investigates complaints made against municipal police."
Saskatchewan Review Board,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-review-board,The Saskatchewan Review Board helps to determine if an individual accused of a crime is not criminally responsible or is unfit to stand trial by reason of mental disorder.
Saskatchewan Serious Incident Response Team,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan-serious-incident-response-team,"The Saskatchewan Serious Incident Response Team is an independent, civilian-led organization responsible for investigating serious incidents involving police officers in Saskatchewan."
Saskatchewan Snowmobile Association,https://sasksnow.com,"The Saskatchewan Snowmobile Association, a provincial non-profit organization, has been the designated trail manager for Saskatchewan’s snowmobile trail system since the Trail Fund was established in 1999. The SSA’s primary responsibility is to maintain the trail system and promote safe, responsible snowmobiling."
Saskatchewan-Ukraine Relations,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/saskatchewan--ukraine-relations,"Learn more about the relationship and citizen group, the Saskatchewan-Ukraine Relations Advisory Committee (SURAC). This group offers advice to the government on initiatives that enhance business opportunities and cultural ties with Ukraine."
Status of Women Office,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/status-of-women-office,"The Status of Women Office acts as a catalyst within government to raise awareness of issues affecting women to ensure gender considerations are integrated into government policy-making, legislation and program development."
Surface Rights Board of Arbitration,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/surface-rights-board-of-arbitration,The Surface Rights Board of Arbitration is used as a last resort when a landowner or occupant and an oil/gas or potash operator are unable to reach an agreement for surface access to private land and related compensation.
Teachers' Superannuation Commission,https://www.stsc.gov.sk.ca/,"The main purposes of the Teachers' Superannuation Commission are to: Administer The Teachers Superannuation and Disability Benefits Act and Regulations; Process disability claims; Monitor investments of superannuation funds;	  Administer The Teachers' Life Insurance (Government Contributory) Act, and; Administer The Teachers' Dental Plan Act."
Wanuskewin Heritage Park,https://wanuskewin.com,"Wanuskewin Heritage Park operates under the leadership and guidance of First Nations people, who work to increase public awareness, understanding and appreciation for the evolving cultures of the Northern Plains Indigenous peoples."
Western Development Museum,https://wdm.ca,"The Western Development Museum is the largest human history museum in Saskatchewan with a collection of over 75,000 artifacts. It tells the Saskatchewan story from the beginning of settlement to present day. Each location showcases a different story of Saskatchewan history - transportation in Moose Jaw, farm and rural life in North Battleford, 1910 Boomtown in Saskatoon and the stories of immigrants to the province in Yorkton."
Workers Compensation Board,https://www.wcbsask.com/,Workers Compensation Board are the provincial agency that delivers workplace insurance to Saskatchewan employers and benefits to Saskatchewan workers when they are hurt at work.
