province,type,name,description,website,phone,email,address,parent_ministry
BC,Agency / Organization,Crown Corporations,"Crown corporations are public sector organizations established and funded by the B.C. government to provide specialized goods and services to citizens. They operate at varying levels of government control and report on their planning, governance and accountabilities.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/crown-corporations,,ABC@gov.bc.ca,,
BC,Agency / Organization,Education and training,"Discover resources for early learning (birth to age 8) for parents, guardians, educators, and service providers.",https://www2.gov.bc.ca/gov/content/education-training,,,,
BC,Agency / Organization,"Independent boards, commissions and tribunals","Independent boards, commissions and tribunals established by government to perform arbitration, regulation or a similar function.  The provincial government appoints at least one representative to these agencies.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/boards-commissions-tribunals,,,,
BC,Agency / Organization,Forms,"Use this tool to find B.C. funding opportunities such as grants, bursaries and loans. Various opportunities are available for individuals, local governments, and community groups.",https://www2.gov.bc.ca/gov/content/home/forms-a-z,,,,
BC,Agency / Organization,Services,"Service BC provides front line support for many of the hundreds of programs and services the provincial government offers to residents, businesses and visitors.",https://www2.gov.bc.ca/gov/content/home/services-a-z,,,,
BC,Agency / Organization,Public Service,Members of the public service are the politically impartial government employees who are responsible for carrying out the day-to-day activities of government and for delivering public services to the citizens of B.C.,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/public-service,,,,
BC,Agency / Organization,Financial disclosure,"The intent of the Financial Disclosure Act is to identify what areas of influence and possible financial benefit an elected official, nominee or designated employee might have by virtue of their office, and to ensure the public has reasonable access to the information.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/financial-disclosure,,,,
BC,Agency / Organization,Driving and transportation,"Cold temperatures, slippery roads, and reduced visibility challenge even the most experienced drivers. Learn winter driving safety tips.",https://www2.gov.bc.ca/gov/content/transportation,,,,
BC,Agency / Organization,B.C. Ministry Service Plans,"In a world of uncertainty, Budget 2026 makes careful choices to protect what matters most and secure B.C.'s future.",https://www.bcbudget.gov.bc.ca/2026/ministryserviceplans/,,,,
BC,Agency / Organization,Crown Agency Service Plans,"In a world of uncertainty, Budget 2026 makes careful choices to protect what matters most and secure B.C.'s future.",https://www.bcbudget.gov.bc.ca/2026/crownserviceplans/,,,,
BC,Agency / Organization,Health,Find health care near you and learn how to apply for financial aid for medical-related travel.,https://www2.gov.bc.ca/gov/content/health,,,,
BC,Agency / Organization,"Farming, natural resources and industry","Explore B.C.’s agriculture and seafood sectors. Find funding programs and resources for farms, businesses and agri-tech.",https://www2.gov.bc.ca/gov/content/industry,,,,
BC,Agency / Organization,Ministry Annual Service Plan Reports,,https://www.bcbudget.gov.bc.ca/Annual_Reports/2024_2025/default.htm,,,,
BC,Agency / Organization,Family and social supports,"Find support services for children, caregivers, parents and guardians. Access specialized resources to help your family.",https://www2.gov.bc.ca/gov/content/family-social-supports,,,,
BC,Agency / Organization,Professional Credential Recognition,Many jobs in British Columbia are regulated.This means you need a certificate or license from a professional regulatory authorityto work in that occupation.,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/regulatory-authorities,,,,
BC,Agency / Organization,BC Gov News,"Expanding access to advanced, specialized care for people throughout B.C.",http://news.gov.bc.ca,,,,
BC,Agency / Organization,Accessibility,We are committed to making gov.bc.ca accessible and inclusive. Our goal is to meetLevel AA of the Web Content Accessibility Guidelines (WCAG).,https://www2.gov.bc.ca/gov/content/home/accessible-government,,WebStandards@gov.bc.ca,,
BC,Agency / Organization,About gov.bc.ca,"Gov.bc.ca provides clear, easy, and secure access to public information and services for people in British Columbia.",https://www2.gov.bc.ca/gov/content/about-gov-bc-ca,,,,
BC,Agency / Organization,Privacy,"The British Columbia (B.C.) government is committed to protecting your privacy. The B.C. Government collects, uses and discloses your personal information in accordance with theFreedom of Information and Protection of Privacy Act(FOIPPA)and other applicable legislation. ‘Personal information’ is defined broadly in the Freedom of Information and Protection of Privacy Act as recorded information about an identifiable individual, other than contact information, which is the information used to contact a person at a place of business. The purpose of this privacy statement is to inform you of the personal information that may be collected from you when visiting a B.C. government website and how that information may be used.",https://www2.gov.bc.ca/gov/content/home/privacy,(250) 356-1851,Privacy.Helpline@gov.bc.ca,,
BC,Agency / Organization,Disclaimer,"This information is provided as a public service by the Government of British Columbia, Box 9411, Victoria, British Columbia, Canada V8W 9V1.",https://www2.gov.bc.ca/gov/content/home/disclaimer,,,,
BC,Agency / Organization,Copyright,"The following policy governs the operation and management of the government's main website and all websites of ministries, and agencies reporting to ministries.",https://www2.gov.bc.ca/gov/content/home/copyright,,QPIPPCopyright@gov.bc.ca,,
BC,Agency / Organization,Province of B.C. Strategic Plan (PDF 493KB),,https://www.bcbudget.gov.bc.ca/2026/pdf/2026_Strategic_Plan.pdf,4555710818,,,
BC,Agency / Organization,See list of,,https://www.fin.gov.bc.ca/apps/appointments/currentboards.asp,,,,
