province,type,name,description,website,phone,email,address,parent_ministry
MB,Crown Corporation,Where to Stay,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/where-to-stay/,,,,
MB,Crown Corporation,Things to do,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/things-to-do/,,,,
MB,Crown Corporation,Trip Essentials,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/trip-essentials/,,,,
MB,Crown Corporation,Visitor Information Center,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/trip-essentials/visitor-information-centres/,,,,
MB,Crown Corporation,Moving to or Around Manitoba,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/moving.html,,,,
MB,Crown Corporation,Manitoba.ca,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.manitoba.ca/index.fr.html,,,,
MB,Crown Corporation,Manitoba Government Inquiry,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/contact/,,,,
MB,Crown Corporation,Service de renseignements au public,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/contact/index.fr.html,,,,
MB,Crown Corporation,Accessibility,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/accessibility/,,,,
MB,Crown Corporation,Privacy,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/legal/privacy.html,,,,
MB,Crown Corporation,Departments,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/government/departments.html,,,,
MB,Crown Corporation,Facebook,,https://www.facebook.com/manitobagovernment,,,,
MB,Crown Corporation,Disclaimer,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/legal/disclaimer.html,,,,
MB,Crown Corporation,Twitter,We’ve detected that JavaScript is disabled in this browser. Please enable JavaScript or switch to a supported browser to continue using x.com. You can see a list of supported browsers in our Help Center.,https://twitter.com/mbgov,,,,
MB,Crown Corporation,Lost Identification,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/lost_id.html,,,,
MB,Crown Corporation,Maps,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/maps.html,,,,
MB,Crown Corporation,Events,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/events/,,,,
MB,Crown Corporation,Copyright,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/legal/copyright.html,,,,
MB,Crown Corporation,YouTube,,https://www.youtube.com/ManitobaGovernment,,,,
MB,Crown Corporation,Manitoba.ca,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.manitoba.ca,,,,
MB,Crown Corporation,Flickr,,https://www.flickr.com/photos/mbgov/,,,,
