province,type,name,description,website,phone,email,address,parent_ministry
QC,Archives / Library,Bibliothèque et Archives nationales du Québec (BAnQ),... mais votre navigation sur ce site nous laisse croire que vous pourriez être un robot.,https://www.banq.qc.ca/,,,,Culture and Communications
QC,Museum,Musée Pointe-à-Callière,"Retrouvez la trace de Hélène de Sparte et courez la chance de gagner une escapade culturelle avec des billets pour l’exposition, une publication des Beaux-Arts et une nuitée à l’hôtel Saint-Sulpice.",https://pacmusee.qc.ca/,514 872-9150,,,Culture and Communications
QC,Crown Agency,Infrastructure Québec,,https://www.infras.gouv.qc.ca/,,,,Treasury Board
QC,Independent Agency / Ombudsman,Protecteur du citoyen,Le Protecteur du citoyen a rendu public un guide de bonnes pratiques à l’intention des ministères et organismes gouvernementaux en vue de garantir l'accès aux services publics pour tous.,https://www.protecteurducitoyen.qc.ca/,1 800 463-5070,,,Justice
QC,Museum,Musée McCord d'histoire canadienne,"Des travaux de réaménagement ont lieu au rez-de-chaussée afin d’améliorer votre expérience de visite, l’accessibilité et la convivialité de nos espaces. Le Musée demeure opérationnel et les expositions sont pleinement accessibles.En savoir plus",https://www.musee-mccord-stewart.ca/,,,,Culture and Communications
QC,Agency / Department,Affaires municipales et Habitation(French only),"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,,,,
QC,Agency / Department,Conseil exécutif(French only),Le ministère du Conseil exécutif relève directement de la première ministre. Il exerce des fonctions particulières et uniques au regard de la gouvernance de l’administration publique.,https://www.quebec.ca/gouvernement/ministeres-organismes/conseil-executif,,,,
QC,Crown Corporation,Caisse de dépôt et placement du Québec,"Pour une expérience de navigation améliorée, les navigateurs Microsoft Edge ou Google Chrome sont recommandés.",https://www.cdpq.com/,,,,Finance
QC,Agency / Department,"Agriculture, Pêcheries et Alimentation(French only)","Le ministère de l’Agriculture, des Pêcheries et de l’Alimentation influence et appuie l’essor de l’industrie bioalimentaire québécoise.",https://www.quebec.ca/gouvernement/ministeres-organismes/agriculture-pecheries-alimentation,,,,
QC,Agency / Department,Emploi et Solidarité sociale(French only),Le ministère de l’Emploi et de la Solidarité sociale contribue au développement social et à la prospérité économique du Québec.,https://www.quebec.ca/gouvernement/ministeres-organismes/emploi-solidarite-sociale,,,,
QC,Agency / Department,"Économie, Innovation et Énergie(French only)",Ministre délégué à l'Économie et aux Petites et Moyennes Entreprises,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,,,,
QC,Commission,Commission québécoise des libérations conditionnelles,Le droit d'être assisté ou représenté par la personne de son choix,https://www.cqlc.gouv.qc.ca/,418 646-8300,cqlc@cqlc.gouv.qc.ca,,Public Safety
QC,Agency / Department,Famille(French only),Le ministère de la Famille contribue à la vitalité et au développement socioéconomique du Québec en favorisant l’épanouissement des familles et le développement du plein potentiel des enfants.,https://www.quebec.ca/gouvernement/ministeres-organismes/famille,,,,
QC,Agency / Department,Éducation(French only),"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",https://www.quebec.ca/gouvernement/ministeres-organismes/education,,,,
QC,Agency / Department,Culture et Communications(French only),Être le catalyseur d’une culture audacieuse et source de fierté pour le Québec.,https://www.quebec.ca/gouvernement/ministeres-organismes/culture-communications,,,,
QC,Agency / Department,Justice(French only),"Le ministère de la Justice favorise l'accessibilité à un système de justice qui soit proche des citoyens, digne de confiance et intègre afin de faciliter l'exercice des droits des citoyens.",https://www.quebec.ca/gouvernement/ministeres-organismes/justice,,,,
QC,Agency / Department,Langue française(French only),Le Ministère veille à renforcer le français en tant que seule langue officielle et langue commune au Québec.,https://www.quebec.ca/gouvernement/ministeres-organismes/langue-francaise,,,,
QC,Commission,Commission des droits de la personne et des droits de la jeunesse,Nos bureaux sont ouverts du lundi au vendredide 8 h 30 à 12 h et de 13 h à 16 h 30,https://www.cdpdj.qc.ca/,438 867-4074,medias@cdpdj.qc.ca,,Justice
QC,Agency / Department,Ressources naturelles et Forêts(French only),"D’une superficie de 1,7millionkm2, le territoire québécois se distingue par son étendue et l’abondance de ses ressources. Dans une perspective de développement durable, notre mission est d’assurer la gestion et de soutenir la mise en valeur des ressources forestières et minérales ainsi que du territoire du Québec.",https://www.quebec.ca/gouvernement/ministeres-organismes/ressources-naturelles-forets,,,,
QC,Agency / Department,Finances,"The Ministère des Finances du Québec, through its contribution to the responsible and rigorous management of public finances, intends to be recognized as a highly effective, innovative and outstanding institution which serves society as a whole and supports Québec’s equitable economic development to ensure a better quality of life for current and future generations.",https://www.quebec.ca/en/government/departments-agencies/finances,,,,
QC,Agency / Department,Santé et Services sociaux(French only),"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission. Il s’appuie également sur des valeurs qui lui sont propres, soit le courage, l’humanisme, la rigueur et le leadership.",https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,,,,
QC,Agency / Department,"Environnement, Lutte contre les changements climatiques, Faune et Parcs(French only)","Le Ministère contribue à la lutte contre les changements climatiques, la protection de l’environnement et la conservation de la biodiversité au bénéfice des générations actuelles et futures.",https://www.quebec.ca/gouvernement/ministeres-organismes/environnement,,,,
QC,Agency / Department,Relations internationales et Francophonie(French only),"La mission du Ministère est de diriger l’action internationale du gouvernement et assurer le développement économique, le rayonnement de l’identité et la défense des intérêts du Québec.",https://www.quebec.ca/gouvernement/ministeres-organismes/relations-internationales,,,,
QC,Agency / Department,Travail(French only),"Le ministère du Travail offre différents services et renseignements en matière de relations du travail. Il s’adresse principalement aux citoyens, aux employeurs et aux associations patronales et syndicales.",https://www.quebec.ca/gouvernement/ministeres-organismes/travail,,,,
QC,Agency / Department,Secrétariat du Conseil du trésor(French only),Le Secrétariat du Conseil du trésor est l'appareil administratif du Conseil du trésor. Il trouve son assise légale dans la Loi sur l'administration publique.,https://www.quebec.ca/gouvernement/ministeres-organismes/secretariat-conseil-tresor,,,,
QC,Agency / Department,Tourisme(French only),"Visant à favoriser la prospérité du secteur touristique, le rôle du Ministère se traduit par la mise en place d’un environnement d’affaires propice au développement du potentiel touristique du Québec.",https://www.quebec.ca/gouvernement/ministeres-organismes/tourisme,,,,
QC,Agency / Department,"Immigration, Francisation et Intégration(French only)","Le ministère de l’Immigration, de la Francisation et de l'Intégration sélectionne les personnes immigrantes, les soutient dans leurs démarches de francisation et leur offre les services nécessaires pour faciliter leur intégration au Québec. Il sensibilise également l’ensemble de la population québécoise à la diversité pour construire un environnement toujours plus inclusif.",https://www.quebec.ca/gouvernement/ministeres-organismes/immigration,,,,
QC,Agency / Department,Enseignement supérieur(French only),L'enseignement supérieur englobe les institutions et les programmes d'études qui se situent au-delà du diplôme de secondaire. Il se divise en deux niveaux : collégial et universitaire.,https://www.quebec.ca/gouvernement/ministeres-organismes/enseignement-superieur,,,,
QC,Agency / Department,Transports et Mobilité durable,"The Ministère des Transports et de la Mobilité durable actively contributes to the prosperity of Québec and its territories. Through the importance it places on sustainable mobility, the Ministère ensures the development of safe and efficient transportation systems.",https://www.quebec.ca/en/government/departments-agencies/transports,,,,
QC,Independent Agency,Commissaire à la santé et au bien-être,Le CSBE aspire à intégrer une approche axée sur la valeur à son analyse de la performance du système. Cette approche attire l'attention sur les résultats des soins et services qui sont importants pour la population selon leurs coûts.,https://www.csbe.gouv.qc.ca/,,csbe@csbe.gouv.qc.ca,,Health and Social Services
QC,Crown Corporation,Société immobilière du Québec,,https://www.siq.gouv.qc.ca/,,,,Treasury Board
