province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
NB,Department,Regional Development Corporation,Looking for the previous page for this organization? VisitRegional Development Corporation,,https://www.gnb.ca/en/org/regional-development-corporation.html,506-453-2277,,"675 King Street Fredericton, New Brunswick",Regional Development Corporation,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Secretariat of Official Languages,The Secretariat of Official Languages is responsible to promote bilingualism in the province including its policies and guidelines.,,https://www.gnb.ca/en/org/languages.html,506-453-6930,,"675 King Street Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Pay Equity Bureau,"The Pay Equity Bureau is committed to promoting fairness and inclusion. We are responsible for the central administration of thePay Equity Act.The responsibility, however, lies with each public body to implement and maintain pay equity within their own organization.",,https://www.gnb.ca/en/org/paye-equity-bureau.html,877-253-0266,,,The Pay Equity Bureau,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Post-Secondary Education Training and Labour,"Looking for the previous page for this organization? VisitPost-Secondary Education, Training and Labour",,https://www.gnb.ca/en/org/post-secondary-training-labour.html,506-453-2597,,"470 York Street Fredericton, New Brunswick",Skilled Trades NB,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Transportation and Infrastructure,Looking for the previous page for this organization? VisitTransportation and Infrastructure,,https://www.gnb.ca/en/org/transportation-infrastructure.html,506-453-3939,,2024 to 2026 Road conditions and traffic advisories in New Brunswick 511 is a national traveler information service designed to help people plan their routes and travel safely and efficiently across the province of New Brunswick,The Road Ahead,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Social Development,"The Department of Social Development is responsible for managing programs and services designed to provide protection and care for children, seniors, individuals and families, while also fostering independence and self-sufficiency.  We are responsible for overseeing social assistance programs, licensing and inspecting long term care homes, coordinating adoption, kinship and foster care and providing a range of health services and programs like Healthy Smiles, Clear Vision. We work with non-profit organizations and community groups to ensure that the department’s programs and services are effective in supporting clients.",,https://www.gnb.ca/en/org/social-development.html,506-453-2001,,"551 King Street Fredericton, New Brunswick",Social Assistance Program,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Executive Council Office,Looking for the previous page for this organization? VisitExecutive Council Office,,https://www.gnb.ca/en/org/executive-council-office.html,506-444-4417,,"675 King Street Fredericton, New Brunswick",Executive Council Office,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,"Tourism, Heritage and Culture","Looking for the previous page for this organization? VisitTourism, Heritage and Culture",,https://www.gnb.ca/en/org/tourism-heritage-culture.html,506-453-3115,,"2029 Canada Summer Games The 2029 Canada Summer Games will be hosted in New Brunswick ExploreNB Events, festivals, provincial attractions, scenic drives, heritage sites and more. Learn about New Brunswick New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Finance and Treasury Board,Looking for the previous page for this organization? VisitFinance and Treasury Board,,https://www.gnb.ca/en/org/finance-treasury-board.html,506-453-2264,,"675 King Street Floor 5 Fredericton, New Brunswick",New Brunswick low income seniors benefit,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Environment and Local Government,Looking for the previous page for this organization? VisitEnvironment and Local Government,,https://www.gnb.ca/en/org/environment-local-government.html,506-453-2690,,"20 McGloin Street Fredericton, New Brunswick",Local Governance Reform,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
