agency_name,position,name,appointment_date,expiry_date,appointment_method
Alberta Board of Skilled Trades,Member,"de Jong, Paul",Oct 09 2025,Oct 08 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Undershute, Ross",Oct 30 2025,Oct 29 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Hartman, Ryan",Oct 09 2025,Oct 08 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Ricketts, Shaudia",Oct 30 2025,Oct 29 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Kavanagh, David",Oct 09 2025,Oct 08 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Lindberg-Fowlow, Matthew",Oct 08 2024,Oct 07 2027,Ministerial Order
Alberta Board of Skilled Trades,Member,"Waples, Chris",Mar 14 2025,Mar 13 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"Regan, Declan",Oct 09 2025,Oct 08 2028,Ministerial Order
Alberta Board of Skilled Trades,Member,"McFadyen, Joseph",Aug 06 2024,Aug 05 2027,Ministerial Order
Alberta Boilers Safety Association,Member,"Williams, Trevor",Jul 16 2025,Sep 30 2028,Ministerial Order
Alberta College of Combined Laboratory and X-Ray Technologists - Council,Public Member,"Bonnett, Richard",Apr 30 2025,Apr 29 2028,Order in Council
Alberta College of Combined Laboratory and X-Ray Technologists - Council,Public Member,"Dhingra, Poshika",Mar 29 2023,Mar 28 2026,Order in Council
Alberta College of Combined Laboratory and X-Ray Technologists - Council,Public Member,"Koop, Robert",Mar 29 2023,Mar 28 2026,Order in Council
Alberta College of Combined Laboratory and X-Ray Technologists - Council,Public Member,"Rainsbury, Jacqueline",Jan 21 2026,Jan 20 2029,Order in Council
Alberta College of Combined Laboratory and X-Ray Technologists - Council,Public Member,"Upshaw, Doreen",Jun 29 2022,Jun 28 2025,Order in Council
Alberta College of Dental Hygienists,Public Member,"Kesler, Marlene",Jan 21 2026,Jan 20 2029,Order in Council
Alberta College of Dental Hygienists,Public Member,"Jossa, John",Jun 01 2022,May 31 2025,Order in Council
Alberta College of Dental Hygienists,Public Member,"Gibbons Kroeker, Carol",Jun 15 2022,Jun 14 2025,Order in Council
Alberta College of Dental Hygienists,Public Member,"Hansen, Judy",Jun 29 2022,Jun 28 2025,Order in Council
Alberta College of Dental Hygienists,Public Member,"MacGillivray, Joseph",Jan 21 2026,Jan 20 2029,Order in Council
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,Public Member,"Andrews, Elaine",Oct 09 2024,Oct 08 2027,Order in Council
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,Public Member,"Thunstrom, Sheldon",Feb 06 2026,Feb 05 2029,Order in Council
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,Public Member,"Liu, John",May 09 2024,Feb 02 2027,Order in Council
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,Public Member,"McCorkell, Tammy",Sep 25 2024,Sep 24 2027,Order in Council
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,Public Member,"Sandie, Nickolletta",Oct 09 2024,Oct 08 2027,Order in Council
Alberta College of Occupational Therapists - Council,Public Member,"Bergman, Christie",May 12 2024,May 11 2027,Order in Council
Alberta College of Occupational Therapists - Council,Public Member,"Rafiq, Zahid",Nov 07 2024,Nov 06 2027,Order in Council
Alberta College of Occupational Therapists - Council,Public Member,"Fitzgerald, James",Jun 15 2022,Jun 14 2025,Order in Council
Alberta College of Optometrists - Council,Public Members,"Barker, Kara",May 12 2024,May 11 2027,Order in Council
Alberta College of Optometrists - Council,Public Members,"Camplin, Rhonda",May 12 2021,May 11 2024,Order in Council
Alberta College of Optometrists - Council,Public Members,"Sprague, Bob",Sep 25 2024,Sep 24 2027,Order in Council
Alberta College of Optometrists - Council,Public Members,"Omutunde, Muyibat",Apr 30 2025,Apr 29 2028,Order in Council
Alberta College of Paramedics - Council,Public Member,"Dyck, Tim",Jun 23 2024,Jun 22 2027,Order in Council
Alberta College of Paramedics - Council,Public Member,"Redmond, Louise",Feb 06 2026,Feb 05 2029,Order in Council
Alberta College of Paramedics - Council,Public Member,"Osiberu, Tosin",Feb 23 2022,Feb 22 2025,Order in Council
Alberta College of Paramedics - Council,Public Member,"Stephenson, Donna",Jun 15 2022,Jun 14 2025,Order in Council
Alberta College of Pharmacy - Council,Public Member,"Stone, Karen",Feb 06 2026,Feb 05 2029,Order in Council
Alberta College of Pharmacy - Council,Public Member,"Wyton, Carmen",Sep 27 2022,Jan 21 2025,Order in Council
Alberta College of Pharmacy - Council,Public Member,"von Hoensbroech, Nicola",Sep 25 2024,Sep 24 2027,Order in Council
Alberta College of Pharmacy - Council,Public Member,"Loven, Larry",Oct 09 2024,Oct 08 2027,Order in Council
Alberta College of Pharmacy - Council,Public Member,"West, Jason",Aug 10 2023,Aug 09 2026,Order in Council
Alberta College of Social Workers - Council,Public Member,"Goldie, Elizabeth",Aug 10 2024,Aug 09 2027,Order in Council
Alberta College of Social Workers - Council,Public Member,"Pickering, Brad",Mar 14 2023,Mar 13 2026,Order in Council
Alberta College of Social Workers - Council,Public Member,"Liskowich, Trevor",Apr 20 2022,May 14 2024,Order in Council
Alberta College of Social Workers - Council,Public Member,"Billy, Allen",Jun 15 2022,Jun 14 2025,Order in Council
Alberta College of Social Workers - Council,Public Member,"Smith, Geraldine",Jun 15 2022,Jun 14 2025,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"DeVuyst, Mike",Jun 23 2024,Jun 22 2027,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"Walls, Brad",Nov 07 2024,Nov 06 2027,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"Behl, Monica",Jan 21 2026,Jan 20 2029,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"Rasheed, Muhammad",Jun 29 2022,Jun 28 2025,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"DiMarcello, Diana",Apr 30 2025,Apr 29 2028,Order in Council
Alberta College of Speech-Language Pathologists and Audiologists - Council,Public Member,"Oltean, Mirela",Apr 30 2025,Apr 29 2028,Order in Council
Alberta Conservation Association,GOA Rep Member,"Cotterill, Sue",Dec 08 2022,,Letter
Alberta Electric System Operator,Chair & Member,"Johannson, Karl",May 13 2026,Feb 18 2029,Ministerial Order
Alberta Electric System Operator,Member,"Clark, Stephen",May 13 2026,Apr 10 2029,Ministerial Order
Alberta Electric System Operator,Member,"Bahry, Evan",Nov 18 2025,Nov 17 2028,Ministerial Order
Alberta Electric System Operator,Member,"Habib, Georgette",Jan 26 2024,Nov 18 2026,Ministerial Order
Alberta Electric System Operator,Member,"Kaiser, Patricia",Jan 26 2024,Jan 17 2027,Ministerial Order
Alberta Electric System Operator,Member,"Osinski, Ann-Marie",May 13 2026,Feb 18 2029,Ministerial Order
Alberta Electric System Operator,Member,"Federucci, Alex",May 13 2026,Apr 10 2029,Ministerial Order
Alberta Elevating Devices and Amusement Rides Safety Association,Public Member,"Slater, Doug",Feb 13 2025,Apr 30 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Chair,"Registrar of the, Emergency Health Services Act, Assistant Deputy Minister of Acute Care Division, Alberta Health",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Executive Director, Emergency Medical Services, Alberta Health",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"CEO, Health Quality Council of Alberta",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Representative, Alberta College of Paramedics",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Leadership Representative, Rural Municipalities Association",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Leadership Representative, Alberta Municipalities",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Representative, Siksika Health Services (Treaty 7)",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Representative, Treaty 8 First Nations of Alberta",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Representative, Metis Settlements Health Board",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"President, Alberta Paramedic Association",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Representative, Alberta Fire Chiefs Association",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Leadership Representative, Alberta Professional Firefighters and Paramedic Association",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Fire Chief, Penhold Fire Department",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Strategist, Prairie Sky Strategy",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Patient/Family Representative, by HQCA",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Representative & Paramedic Instructor, Northern Alberta Institute of Technology",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Medical Director, Alberta Health Services EMS",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Frontline, Paramedics",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Frontline, Paramedics",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Frontline, Paramedics",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Frontline, Paramedics",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Senior Leadership Representative, Alberta Health Services",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Emergency Medical Services Standing Committee,Member,"Provincial Director, Emergency Health Services, Alberta Health",Mar 28 2024,Mar 27 2027,Ministerial Order
Alberta Employment Pension Tribunal,Chief Appeals Commissioner,"Prefontaine, Mark",Nov 05 2025,Sep 30 2028,Order in Council
Alberta Employment Pension Tribunal,Deputy Chief Appeals Commissioner,"Girard, Rodney",Nov 05 2025,Sep 30 2028,Order in Council
Alberta Employment Pension Tribunal,Appeals Commissioner,"Napen, Dea",Nov 04 2025,Sep 30 2028,Ministerial Order
Alberta Employment Pension Tribunal,Appeals Commissioner,"Andrews, V. Lynn",Nov 04 2025,Sep 30 2028,Ministerial Order
Alberta Energy Regulator- Board of Directors,Chair,"Au, Duncan",Sep 01 2024,Aug 31 2029,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Leach, Gary",Apr 15 2025,Apr 14 2030,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Rippin Armstrong, Allison",Aug 22 2022,Aug 21 2027,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Arnett, Carey",Apr 26 2024,Apr 25 2029,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Watson, Theresa",Apr 26 2024,Apr 25 2029,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Yager, David",Apr 26 2026,Apr 25 2031,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Deibert, Lee",Apr 09 2025,Apr 08 2030,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Graham, Roderick",Apr 09 2025,Apr 08 2030,Order in Council
Alberta Energy Regulator- Board of Directors,Member,"Piche, Richard",Apr 09 2025,Apr 08 2030,Order in Council
Alberta Energy Regulator- Hearing Commission,Chief Hearing Commissioner,"MacPherson, Andrew",Jun 17 2025,Oct 20 2029,Order in Council
Alberta Energy Regulator- Hearing Commission,Hearing Commissioner,"Chiasson, Cindy",Jul 01 2024,Jun 30 2027,Order in Council
Alberta Energy Regulator- Hearing Commission,F/T Hearing Commissioner,"Mackenzie, Shona",Jul 25 2025,Jul 24 2028,Order in Council
Alberta Energy Regulator- Hearing Commission,F/T Hearing Commissioner,"Zaitlin, Brian",Jul 01 2024,Jun 30 2028,Order in Council
Alberta Energy Regulator- Hearing Commission,F/T Hearing Commissioner,"Robinson, Harold",Jul 25 2025,Jul 24 2028,Order in Council
Alberta Energy Regulator- Hearing Commission,F/T Hearing Commissioner,"Cartwright, Shaunna",Jul 25 2025,Jul 24 2030,Order in Council
Alberta Energy Regulator- Hearing Commission,P/T Hearing Commissioner,"Campbell, Jillian",Jul 05 2025,Jul 24 2028,Order in Council
Alberta Energy Regulator- Hearing Commission,P/T Hearing Commissioner,"Webb, Michael",Mar 16 2026,Mar 15 2029,Order in Council
Alberta Energy Regulator- Hearing Commission,Hearing Commissioner,"McNaughtan, Elizabeth",Apr 08 2024,Apr 07 2028,Order in Council
Alberta Energy Regulator- Hearing Commission,Hearing Commissioner,"Stock, Tracey",Jul 25 2022,Jul 24 2027,Order in Council
Alberta Enterprise Corporation - Board of Directors,Chair & Member,"Redmond, Ted",Nov 07 2024,Nov 06 2027,Order in Council
Alberta Enterprise Corporation - Board of Directors,Vice-Chair & Member,"Cannon, M. Elizabeth",Nov 07 2024,Nov 06 2027,Order in Council
Alberta Enterprise Corporation - Board of Directors,Member,"Fossum, Sharilee",May 07 2025,May 06 2028,Order in Council
Alberta Enterprise Corporation - Board of Directors,Member,"Hunter, Derrick",Nov 07 2024,Nov 06 2027,Order in Council
Alberta Enterprise Corporation - Board of Directors,Member,"Sadaranganey, Neil",Jul 23 2025,Jul 22 2028,Order in Council
Alberta Enterprise Corporation - Board of Directors,Member,"Scarlett, Tracey",May 07 2025,May 06 2028,Order in Council
Alberta Enterprise Corporation - Board of Directors,Member,"Ferrara, Justin",May 07 2025,May 06 2028,Order in Council
Alberta Foundation for the Arts,Chair and Director,"Moore, Cynthia",Apr 10 2024,Apr 09 2027,Order in Council
Alberta Foundation for the Arts,Vice-Chair and Director,"Bo, Le",Mar 01 2026,Feb 28 2029,Order in Council
Alberta Foundation for the Arts,Director,"Fernandez, Robert",Mar 01 2025,Feb 29 2028,Order in Council
Alberta Foundation for the Arts,Director,"Ndumbi, Sylvester",Mar 01 2026,Feb 28 2029,Order in Council
Alberta Foundation for the Arts,Director,"O'Connor, Jason",Oct 08 2025,Oct 07 2028,Order in Council
Alberta Foundation for the Arts,Director,"Shana Yang, Xuejia",Mar 01 2026,Feb 28 2029,Order in Council
Alberta Foundation for the Arts,Director,"Jivraj, Yasmin",Mar 01 2026,Feb 28 2029,Order in Council
Alberta Foundation for the Arts,Director,"Snell, Gwendolyn",Mar 01 2026,Feb 28 2029,Order in Council
Alberta Funeral Services Regulatory Board,Public Member,"Gust, Deborah",Oct 30 2024,Mar 31 2027,Ministerial Order
Alberta Funeral Services Regulatory Board,Public Member,"Jackman, Joshua",Oct 30 2024,Mar 31 2027,Ministerial Order
"Alberta Gaming, Liquor and Cannabis Commission",Chair & Member,"Spagnolo, Larry",Aug 15 2025,Aug 14 2028,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Drysdale, Wayne",May 13 2026,Mar 12 2028,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Fujino, Jack",May 13 2023,May 12 2026,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Bodnar, Jason",Mar 31 2026,Mar 31 2029,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Cupples, Garett",Aug 27 2025,Aug 26 2027,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Donovan, Serena",Apr 09 2025,Apr 08 2028,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Foulds, Jared",Mar 31 2026,Mar 31 2027,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Crockatt, Joan",Mar 31 2026,Mar 31 2028,Order in Council
"Alberta Gaming, Liquor and Cannabis Commission",Chief Executive Officer (Ex-Officio),"Ex-Officio, CEO",,,Non-GOA Appointment
"Alberta Gaming, Liquor and Cannabis Commission",Member,"Rauscher, Gordon",Dec 17 2025,Dec 16 2027,Order in Council
Alberta Health Services,Official Administrator,"Torigian, Matt",Dec 01 2025,,Ministerial Order
Alberta Health Services Provincial Health Corporation,Chair and Member,"Tremblay, Andre",Jan 19 2026,Jul 18 2026,Ministerial Order
Alberta Human Ecology and Home Economics Association - Board of Directors,Public Member,"Hull, Patricia",Dec 18 2024,Dec 17 2026,Ministerial Order
Alberta Human Rights Commission,Chief of Commission and Tribunals,"Yaqoob, Zabeda",Jul 21 2025,Jul 20 2031,Order in Council
Alberta Human Rights Commission,P/T Member,"Ahanonu, C. Nduka",Aug 21 2024,Aug 20 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Badejo, Sandra",Aug 21 2024,Aug 20 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Nanji, Alyx",Nov 19 2025,Nov 18 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Snowdon, Dylan",Nov 19 2025,Nov 18 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Hattum, Malik",Jun 25 2025,Jun 24 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Scott, Karen",Jun 29 2024,Jun 28 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Oshionebo, Evaristus",Aug 21 2024,Aug 20 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Ringseis, Erika",Aug 15 2025,Aug 14 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Shim, Wilma",Aug 21 2024,Aug 20 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Bawa, Faraz",Aug 18 2025,Aug 17 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Christianson, Dana",Jun 20 2024,Jun 19 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Leclerc, Shawn",Jun 20 2024,Jun 19 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Sherry, Leigh",Jun 20 2024,Jun 19 2027,Order in Council
Alberta Human Rights Commission,P/T Member,"Gill, Jessica",Aug 18 2025,Aug 17 2028,Order in Council
Alberta Human Rights Commission,P/T Member,"Abdelhamid, Rabie",Jun 20 2024,Jun 19 2027,Order in Council
Alberta Human Rights Commission,Director,"Milliken, Nicholas",Jul 05 2024,Jul 04 2027,Order in Council
Alberta iGaming Corporation,Vice-Chair,"Eaton, William",Dec 23 2025,Dec 23 2028,Ministerial Order
Alberta iGaming Corporation,Chair,"Kad, Sanjeev",Dec 23 2025,Dec 23 2028,Ministerial Order
Alberta iGaming Corporation,Director,"Karringten, Koleya",Feb 26 2026,Mar 03 2028,Ministerial Order
Alberta Indigenous Opportunities Corporation,Chair & Director,"Buffalo, Stephen",Nov 27 2024,Nov 26 2027,Order in Council
Alberta Indigenous Opportunities Corporation,Vice-Chair & Director,"Bosgoed, Gary",Nov 27 2024,Nov 26 2027,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Sutherland, Ward",Mar 25 2026,Mar 24 2029,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Moneta, Maureen",Mar 25 2026,Mar 24 2029,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Graham, Roderick",Jan 27 2024,Jan 26 2027,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Shade, Hank",Mar 25 2026,Mar 24 2029,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Boucher, Jim",May 14 2025,May 13 2028,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Littlechild, Ruby",May 14 2025,May 13 2028,Order in Council
Alberta Indigenous Opportunities Corporation,Director,"Milentyev, Vitaliy",May 14 2025,May 13 2028,Order in Council
Alberta Innovates,Chair & Member,"Williams, Tony",Mar 26 2024,Apr 09 2026,Order in Council
Alberta Innovates,Vice-Chair & Member,"Abbott, Jodi",May 23 2024,May 22 2027,Order in Council
Alberta Innovates,Member,"Keirstead, James",Sep 25 2024,Sep 24 2026,Order in Council
Alberta Innovates,Member,"Solis, Rhea",Sep 25 2024,Sep 24 2026,Order in Council
Alberta Innovates,Member,"Browning, Carissa",Sep 25 2024,Sep 24 2027,Order in Council
Alberta Innovates,Member,"Severin, Brad",May 23 2024,May 22 2026,Order in Council
Alberta Innovates,Member,"Moody, Kim",Sep 25 2024,Sep 24 2027,Order in Council
Alberta Innovates,Member,"Riopel, Janet",Sep 25 2024,Sep 24 2027,Order in Council
