agency_name,agency_url,classification,description
Alberta Association of Landscape Architects - Board of Directors,https://www.aala.ab.ca/board-of-directors,Regulatory/Adjudicative,"The Board of Directors manages and conducts the business and affairs of the Alberta Association of Landscape Architects and exercises the rights, powers and privileges of the Association in the name and on behalf of the Association."
Alberta Black Advisory Council,https://www.alberta.ca/alberta-black-advisory-council,Advisory,"The Alberta Black Advisory Council (Council) is to advise the Minister of Immigration and Multiculturalism (Minister) on how to combat racism and systemic barriers faced by Alberta’s Black communities, and to support the ongoing implementation and evaluation of the Government of Alberta’s actions against racism."
Alberta Board of Skilled Trades,https://tradesecrets.alberta.ca/engagement-events/alberta-board-of-skilled-trades/,Advisory,"The functions of the Board are to consult with industry and make recommendations to the Minister respecting the designation of trades and the rescission of the designation of trades, to consult with industry respecting standards and requirements for certification in designated trades, any other matters requested by the Minister, and any other matters in respect of which the Board considers it should engage with industry; to advise and make recommendations to the Minister respecting restricted activities and the classes of individuals who may perform them, and any other matter on which the Minister requests the input of the Board; to promote the value of designated trades careers and certification, and any other functions assigned by the regulations."
Alberta Boilers Safety Association,https://www.absa.ca/,Regulatory/Adjudicative,The Alberta Boilers Safety Association is a delegated administrative organization that administers Alberta's pressure equipment safety programs under the Safety Codes Act and has the authority to enforce pressure equipment safety standards.
Alberta College of Combined Laboratory and X-Ray Technologists - Council,https://alis.alberta.ca/occinfo/certifications-in-alberta/combined-laboratory-and-x-ray-technologist/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Dental Hygienists,https://www.acdh.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Medical Diagnostic and Therapeutic Technologists - Council,https://acmdtt.com/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Occupational Therapists - Council,https://acot.ca/about-acot/council/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Optometrists - Council,https://collegeofoptometrists.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes establishing and enforcing a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Paramedics - Council,https://abparamedics.com/about/council/,Regulatory/Adjudicative,"The Council of the Alberta College of Paramedics manages and conducts the business and affairs of the College and govern the registered members of the College in accordance with the Act, the regulations and the bylaws in a manner that serves and protects the public interest."
Alberta College of Pharmacy - Council,https://abpharmacy.ca/about/council/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Social Workers - Council,https://acsw.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta College of Speech-Language Pathologists and Audiologists - Council,https://www.acslpa.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Alberta Conservation Association,https://www.ab-conservation.com/,Service Delivery,The Alberta Conservation Association is a delegated administrative organization established under the Alberta Wildlife Act to conserve and enhance Alberta's natural biological resources.
Alberta Council on Admissions and Transfer,https://acat.alberta.ca/,Advisory,"The Alberta Council on Admissions and Transfer is an advisory agency accountable to the Minister of Enterprise and Advanced Education and, in support of Campus Alberta, responsible for providing advice and guidance regarding post-secondary admission and transfer policy."
Alberta Electric System Operator,https://www.aeso.ca/,Regulatory/Adjudicative,"The Alberta Electric System Operator facilitates a fair, efficient and openly competitive market for electricity and provides for the safe, reliable and economic operations of Alberta's interconnected electric system."
Alberta Elevating Devices and Amusement Rides Safety Association,https://www.aedarsa.com/,Regulatory/Adjudicative,"The Alberta Elevating Devices and Amusement Rides Safety Association is the delegated administrative organization that administers specified safety services, in accordance with regulations under the Safety Codes Act, pertaining to elevators, escalators, dumbwaiters, freight platform lifts, man lifts, passenger ropeways, personnel hoists, lifts for persons with physical disabilities, amusement rides and any other thing defined as “elevating devices” under the Act."
Alberta Emergency Medical Services Standing Committee,https://abparamedics.com/ems-standing-committee/,Advisory,"AEMSSC provides feedback and recommendations on opportunities and challenges within Alberta's EMS system based upon reviews of performance data of EMS system operations, progress on the implementation of the recommendations from the Alberta EMS Provincial Advisory Committee (AEPAC) and EMS Dispatch Review reports, and policy issues related to Alberta's EMS system."
Alberta Employment Pension Tribunal,https://www.alberta.ca/pensions-pension-plan-appeals,Regulatory/Adjudicative,"The Alberta Employment Pension Tribunal hears appeals made by pension plan administrators in respect of certain decisions made by the Superintendent of Pensions, as identified under Part 12 of the Employment Pension Plans Act (Reconsiderations and Appeals)."
Alberta Energy Regulator- Board of Directors,https://www.aer.ca/about-aer/governance/board-directors,Advisory,"The Alberta Energy Regulator ensures the safe, efficient, orderly, and environmentally responsible development of hydrocarbon resources over their entire life cycle. This includes allocating and conserving water resources, managing public lands, and protecting the environment while providing economic benefits for all Albertans."
Alberta Energy Regulator- Hearing Commission,https://www.aer.ca/applications-and-notices/hearings,Regulatory/Adjudicative,"The Alberta Energy Regulator ensures the safe, efficient, orderly, and environmentally responsible development of hydrocarbon and mineral resources over their entire life cycle. This includes allocating and conserving water resources, managing public lands, and protecting the environment while providing economic benefits for all Albertans."
Alberta Enterprise Corporation - Board of Directors,https://www.alberta-enterprise.ca/who-we-are/board-of-directors/,Public Trust,"The Alberta Enterprise Corporation develops the locally managed venture capital industry for knowledge-based industry sectors. The Corporation makes investments as a Limited Partner in venture capital funds focused on priority, knowledge-based industry sectors such as information and communications technologies, life sciences, nanotechnology, environmental technology, and promotes the development of the venture capital industry supporting knowledge-based industries in Alberta."
Alberta Foundation for the Arts,https://www.affta.ab.ca/,Public Trust,"The Alberta Foundation for the Arts supports, contributes to, and promotes the arts in Alberta by providing opportunities to participate in the arts, and fostering and promoting Alberta artists, including collecting, preserving and displaying works of art by Alberta artists."
Alberta Funeral Services Regulatory Board,https://www.afsrb.ab.ca/,Regulatory/Adjudicative,"The Alberta Funeral Services Regulatory Board regulates funeral businesses, funeral directors, embalmers and pre-need funeral salespeople. The Board is responsible for setting and enforcing standards of conduct, licensing of industry members, establishing education criteria, monitoring pre-need funeral trust accounts, investigating complaints and taking enforcement action."
"Alberta Gaming, Liquor and Cannabis Commission",https://aglc.ca/,Corporate Enterprise,"The Alberta Gaming, Liquor and Cannabis Commission conducts and manages provincial lotteries; controls the manufacture, import, sale, purchase, possession, storage, transportation, use and consumption of liquor; and controls the import, distribution, sale, purchase, giving, possession, storage, transportation and use of cannabis."
Alberta Health Services,https://www.albertahealthservices.ca/,Service Delivery,·planning for the provision of health services in Alberta;
Alberta Human Ecology and Home Economics Association - Board of Directors,https://public-agency-list.alberta.ca/PublicAgencyBiographies?appointmentId=21640,Regulatory/Adjudicative,"The governing body of a registered association shall manage and conduct the business and affairs of the registered association and exercise the rights, powers and privileges of the registered association in the name and on behalf of the registered association. The Alberta Human Ecology and Home Economics Association is focused on improving the quality of life of families and individuals by helping them make the best use of their resources."
Alberta Human Rights Commission,http://albertahumanrights.ab.ca/,Regulatory/Adjudicative,"The Alberta Human Rights Commission is responsible for education and engagement to foster equality and reduce discrimination, resolving complaints, and adjudicating appeals when complaints cannot be resolved through other mechanisms. The Commission also oversees the administration of the Human Rights Education and Multiculturalism Fund."
Alberta iGaming Corporation,https://albertagaming.ca/,Corporate Enterprise,"Mandate: Subject to the regulations, the mandate of the corporation is:"
Alberta Indigenous Opportunities Corporation,https://theaioc.com/,Corporate Enterprise,"Mandate: The Alberta Indigenous Opportunities Corporation facilitates investment by Indigenous groups in the natural resource, agriculture, telecommunication, transportation, tourism, healthcare, and technology sectors, and related infrastructure."
Alberta Innovates,https://albertainnovates.ca/,Service Delivery,"Alberta Innovates supports research and innovation activities aligned with Government of Alberta priorities including activities directed at discovery, commercialization and application of knowledge."
Alberta Institute of Agrologists - Complaint Review and Hearing Tribunals,https://albertaagrologists.ca/site/about/council,Regulatory/Adjudicative,Complaint Review and Hearing Tribunals are described in the Agrology Profession Act. A hearing tribunal’s powers and duties include holding hearings under the Act.
Alberta Institute of Agrologists - Council,https://albertaagrologists.ca/site/about/council,Regulatory/Adjudicative,"The Council manages and conducts the activities of the Alberta Institute of Agrologists, exercises the rights, powers and privileges and carries out the duties of the Institute in the name of and on behalf of the Institute and carries out the powers and duties of the Council under the Agrology Profession Act and the bylaws."
Alberta Insurance Council,https://www.abcouncil.ab.ca/,Regulatory/Adjudicative,"The Alberta Insurance Council is the financial arm of the four insurance councils (the Alberta Insurance Council, the Insurance Adjusters’ Council, the General Insurance Council and the Life Insurance Council) and provides investigation and administrative services to the other councils."
Alberta Investment Management Corporation,https://www.aimco.ca/,Public Trust,"The Alberta Investment Management Corporation (AIMCo) provides investment solutions for government owned funds, Alberta’s public sector pension plans, as well as a number of other public entities."
Alberta Judicial Nominating Committee,https://albertacourts.ca/cj/about-the-court/judicial-information/judicial-appointments,Advisory,"The role of the Committee is to make recommendations for Alberta Court of Justice judicial appointments from a list of qualified candidates provided by Judicial Council. The Committee selects candidates, interviews and makes recommendations to the Minister of Justice."
Alberta Labour Relations Board,https://www.alrb.gov.ab.ca/,Regulatory/Adjudicative,The Labour Relations Board is the independent and impartial tribunal responsible for the day-to-day application and interpretation of Alberta's labour laws. It processes applications and frequently conducts hearings on matters arising from both private and public employment sectors.
Alberta Land Surveyors' Association - Council,https://www.alsa.ab.ca/,Regulatory/Adjudicative,The Council manages and conducts the business and affairs of the Alberta Land Surveyors' Association and exercises the powers of the Association in the name of and on behalf of the Association.
Alberta Land Surveyors' Association - Practice Review Board,https://www.alsa.ab.ca/Protecting-the-Public/Continuing-Competency-Review,Advisory,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of practitioners generally, as well as the practice of surveying by practitioners generally, and conducts a review of the practice of a practitioner in accordance with the Land Surveyors Act and the regulations."
Alberta Law Foundation,https://albertalawfoundation.org/,Service Delivery,"The Legal Profession Act requires that financial institutions must pay interest from lawyer's general trust accounts to the Alberta Law Foundation. The Foundation then makes these funds available to a variety of organizations that undertake activities meeting the Foundation’s goals, which include public legal education, law libraries, law research and reform, native legal programs and student legal aid programs."
Alberta Law Libraries,https://lawlibrary.ab.ca/,Service Delivery,"The Board is a decision-making body, and is responsible for making recommendations about funding Alberta Law Libraries (ALL), setting policy governing the operation of ALL, and for overseeing the operation of the library system."
Alberta Motor Vehicle Industry Council,https://www.amvic.org/,Regulatory/Adjudicative,"The Alberta Motor Vehicle Industry Council (AMVIC) is responsible for administering theConsumer Protection Actin respect of automotive businesses. The Council regulates the selling, leasing, cosigning or repair of motor vehicles in Alberta and is responsible for setting and enforcing standards of conduct, licensing of industry members, establishing education criteria for automotive salespeople, investigating complaints and taking appropriate enforcement action."
Alberta Order of Excellence Council,https://www.alberta.ca/aoe-council,Advisory,The Alberta Order of Excellence accords recognition to those persons who have rendered service of the greatest distinction and of singular excellence for or on behalf of the residents of Alberta. The Council acts as the governing body of the Order and advises the Chancellor on matters concerning the Order.
Alberta Parole Board,https://www.publicsafety.gc.ca/cnt/trnsprnc/brfng-mtrls/prlmntry-bndrs/20200930/002/index-en.aspx,Regulatory/Adjudicative,The Alberta Parole Board is responsible for making parole decisions for inmates serving sentences of less than two years in Alberta correctional centres.
Alberta Pensions Services Corporation,https://www.apsc.ca/,Service Delivery,The Alberta Pensions Services Corporation administers public service pension plans and provides services and support related to group benefit programs for persons receiving a pension benefit. The Corporation also provides secretariat services to designated pension boards and committees.
Alberta Petroleum Marketing Commission,https://www.apmc.ca/,Corporate Enterprise,"The Alberta Petroleum Marketing Commission is responsible for selling the conventional crude that the government receives in lieu of cash royalties. The Commission also develops commodity prices used in royalty calculations, assists with the development of new energy markets and transportation infrastructure, and manages the implementation of Alberta's Bitumen Royalty In-Kind Policy."
Alberta Professional Outfitters Society,https://www.apos.ab.ca/,Service Delivery,"The Alberta Professional Outfitters Society is a delegated administrative organization whose powers, duties and functions are to qualify guide/outfitters in Alberta, provide allocation of opportunities among guide/outfitters, discipline outfitter/guides, and allocate non-resident, non- Canadian licenses among outfitter guides."
Alberta Professional Planners Institute - Council,https://www.albertaplanners.com/,Regulatory/Adjudicative,"The Council of the Alberta Professional Planners Institute manages and conducts the business and affairs of the Institute and exercise the rights, powers and privileges of the Institute in the name and on behalf of the Institute."
Alberta Recycling Management Authority,https://www.albertarecycling.ca/,Regulatory/Adjudicative,"The Alberta Recycling Management Authority is a delegated administrative organization established under the Societies Act. This organization manages the provincially regulated recycling programs for scrap tires, waste electronics, waste paint and paint containers."
Alberta Research and Innovation Advisory Committee,https://www.alberta.ca/alberta-research-innovation-advisory-committee,Advisory,The Alberta Research and Innovation Advisory Committee provides expert and independent strategic advice and recommendations to the Minister on research and innovation.
Alberta Securities Commission,https://www.asc.ca/,Regulatory/Adjudicative,"The Alberta Securities Commission is responsible for administering the province's securities laws, including making and enforcing rules. The Commission is also responsible for adjudicating matters related to the administration of Alberta securities laws."
Alberta Shorthand Reporters' Association - Council,https://asraonline.com/,Regulatory/Adjudicative,"The Council of the Alberta Shorthand Reporters' Association manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association."
Alberta Social Housing Corporation,https://open.alberta.ca/publications/ashc-housing-accommodation-types-fact-sheets,Corporate Enterprise,"The purpose of the Alberta Social Housing Corporation is to enable the efficient provision of a basic level of housing accommodation for persons who because of financial, social or other circumstances require assistance to obtain or maintain housing accommodation. The Corporation owns and administers the province’s portfolio of 26,000 units of seniors’ lodge and social housing, and manages agreements for its housing assets."
Alberta Society of Professional Biologists - Board of Directors,https://www.aspb.ab.ca/board-and-staff,Regulatory/Adjudicative,"The Board of Directors of the Alberta Society of Professional Biologists manages and conducts the business and affairs of the Society and exercise the rights, powers and privileges of the Society in the name and on behalf of the Society."
Alberta University of the Arts Board of Governors,https://www.auarts.ca/about-auarts/governance/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, the Alberta University of the Arts is a specialized arts and culture institution. It provides a range of credentials from certificate, diploma, applied/baccalaureate and graduate degrees in fine arts. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
Alberta Utilities Commission,https://www.auc.ab.ca/,Regulatory/Adjudicative,"The Alberta Utilities Commission is an independent, quasi-judicial agency that is responsible for ensuring the delivery of Alberta’s utility services. The Commission regulates the utilities sector, natural gas and electricity markets to protect social, economic and environmental interests of Alberta where competitive market forces do not."
Alberta Veterinary Medical Association - Council,https://www.abvma.ca/,Regulatory/Adjudicative,The Alberta Veterinary Medical Association is the professional regulatory organization governing the practice of veterinary medicine in Alberta under the authority of the Veterinary Profession Act.
Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,https://www.abvma.ca/site/public/complaints,Regulatory/Adjudicative,The Complaint Review Committee reviews a referral under legislation within 30 days of receiving it and may dismiss the complaint or direct the Complaints Director to conduct or appoint an investigator to conduct an investigation and to prepare a report on the investigation for the consideration of the Committee.
Alberta Veterinary Medical Association - Practice Review Board,https://www.abvma.ca/,Advisory,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of registered veterinarians and permit holders generally, evaluates the practice of veterinary medicine by registered veterinarians generally, and conducts reviews of the practice of a registered veterinarian or permit holder in accordance with the Veterinary Profession Act and the regulations."
Appeals Commission for Alberta Workers' Compensation,https://www.appealscommission.ab.ca/,Regulatory/Adjudicative,"The Appeals Commission for Alberta Workers’ Compensation hears appeals for workers and employers dissatisfied with decisions made by the Workers' Compensation Board. The Appeals Commission's mission is to provide a timely, fair and independent appeals process consistent with legislation, policy, and the principles of natural justice."
Assisted Living Alberta,https://assistedlivingalberta.ca/,Service Delivery,"Assisted Living Alberta will provide Albertans access to a comprehensive system of continuing care with a full range of wraparound services, including medical and non-medical supports, home care, community care and social services."
Assoc. of Prof. Engineers & Geoscientists of AB & Assoc. of Science & Engineering Tech. Prof.-Joint Board of Examiners,https://www.apega.ca/,Regulatory/Adjudicative,The Joint Discipline Committee adjudicates allegations of unskilled practice or unprofessional conduct against professional technologists in order to maintain levels of competency and ethics.
Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Appeal Board,https://www.apega.ca/,Regulatory/Adjudicative,A professional technologist who is the subject of a hearing or a review by the Joint Practice Review Board may appeal any decision or order of the Board to the Appeal Board.
Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Discipline Committ,https://www.apega.ca/,Regulatory/Adjudicative,"The Joint Investigative Committee investigates complaints against professional technologists received by the Registrar or designate, in accordance with the requirements of the legislation."
Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Investigative Comm,https://www.apega.ca/,Advisory,"The Joint Investigative Committee investigates complaints against professional technologists received by the Registrar or designate, in accordance with the requirements of the legislation."
Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Practice Review Bo,https://www.apega.ca/,Advisory,The Joint Practice Review Board will assess the existing and the development of new educational standards and experience requirements for obtaining and continuing registration as a professional technologist; the evaluation standards of competence for professional technologists; and the practice of professional technologists. The Board may also conduct a review of a professional technologist in accordance with the legislation.
Assoc. of Prof. Engineers & Geoscientists of Alta. & Assoc. of Sci & Eng. Tech. Prof. of  Alta.–Joint Prof Tech Reg Comm,https://www.apega.ca/,Regulatory/Adjudicative,"The Joint Professional Technologists Regulations Committee may make regulations: respecting the eligibility of applicants for registration as professional technologists; respecting the establishment and administration of a register of professional technologists and the functions, duties and responsibilities of the ASET Registrar, including the removal of entries from the register."
Association of Alberta Forest Management Professionals Council,https://aafmp.ca/,Regulatory/Adjudicative,"The Council of the Association of Alberta Forest Management Professionals manages and conducts the activities of the Association, exercises the rights, powers and privileges and carries out the duties of the Association in the name of and on behalf of the Association and carries out the powers and duties of the Council under the Regulated Forest Management Profession Act and the bylaws."
Association of Alberta Forest Management Professionals-Joint Complaint Review Committee & Hearing Tribunal,https://public-agency-list.alberta.ca/PublicAgencyBiographies?appointmentId=3602,Regulatory/Adjudicative,"These committees protect the interests of the public and will take disciplinary action if a member's conduct is unprofessional. Regulated members found guilty of unethical or unskilled practice may find that: their practice is restricted, skills must be upgraded, and/or fines are imposed."
Association of Professional Engineers and Geoscientists of Alberta - Appeal Board,https://www.apega.ca/,Regulatory/Adjudicative,"A professional member, licensee, permit holder or certificate holder who is the subject of a hearing or a review by the Practice Review Board may appeal any decision or order of the Board to the Appeal Board."
Association of Professional Engineers and Geoscientists of Alberta - Board of Examiners,https://www.apega.ca/,Regulatory/Adjudicative,"The Board of Examiners confirms that individuals approved for registration in the professions of engineering and geoscience meet standards of admission, in accordance with the Engineering and Geoscience Professions Act and Regulations."
Association of Professional Engineers and Geoscientists of Alberta - Council,https://www.apega.ca/,Regulatory/Adjudicative,"The Council of the Association of Professional Engineers and Geoscientists of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association."
Association of Professional Engineers and Geoscientists of Alberta - Discipline Committee,https://www.apega.ca/,Regulatory/Adjudicative,"The Discipline Committee adjudicates allegations of unskilled practice or unprofessional conduct against members of APEGA, and thereby maintain levels of competence and ethics in the practice of the professions of engineering and Geoscience."
Association of Professional Engineers and Geoscientists of Alberta - Investigative Committee,https://www.apega.ca/,Advisory,"The Investigative Committee investigates complaints against members of the Association received by the Registrar or designate, in accordance with the requirements of the Engineering and Geoscience Professions Act."
Association of Professional Engineers and Geoscientists of Alberta - Practice Review Board,https://www.apega.ca/,Advisory,"The Practice Review Board assesses existing and develops new educational standards and experience requirements, evaluates desirable standards of competence of professional members, licensees, permit holders and certificate holders generally, the practice of the profession by professional members, licensees, permit holders or certificate holders generally, and conducts reviews of the practice of a professional member, licensee, permit holder or certificate holder in accordance with the Engineering and Geoscience Professions Act and the regulations."
Association of School Business Officials of Alberta - Executive Committee,https://asboalberta.ca/,Regulatory/Adjudicative,"The Executive Committee has full control and management of the business affairs of the Association of School Business Officials of Alberta including the approval and adoption of a Code of Ethics for the Association. This control is subject to the Professional and Occupational Associations Registrations Act, the Regulation, the by-laws and direction given them by a majority vote at any annual general meeting or special meeting of the Association."
Association of Science and Engineering Technology Professionals of Alberta (ASET) - Council,https://www.aset.ab.ca/,Regulatory/Adjudicative,The Council manages and conducts the business and affairs of the Association of Science and Engineering Technology Professionals of Alberta and exercise the powers of the Association in the name of and on behalf of the Association.
Association of the Chemical Profession of Alberta - Board of Directors,https://www.pchem.ca/board-of-directors,Regulatory/Adjudicative,"The Board of Directors of the Association of the Chemical Profession of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association."
ATB Financial,https://www.atb.com/sign-in/,Corporate Enterprise,The Board has the responsibility to oversee the conduct of the business and affairs of ATB Financial. ATB Financial provides core financial services throughout Alberta.
Athabasca University Board of Governors,https://www.athabascau.ca/university-secretariat/board-of-governors/index.html,Service Delivery,"Based on Alberta’s differentiated model for post-secondary as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Athabasca University is a comprehensive academic and research institution. The institution provides a wide range of baccalaureate and graduate degrees, primarily focused on distance delivery and related technologies and undertakes comprehensive research activity (pure and applied)."
Attendance Board,https://www.alberta.ca/attendance-board,Regulatory/Adjudicative,The Attendance Board provides an alternative to the immediate use of the courts for the enforcement of compulsory school attendance in the Province of Alberta. Those students between 6 and 16 years of age who are required to attend school but who have a history of non-attendance will be assisted when the Attendance Board hears cases referred to it by school authorities.
Automobile Insurance Rate Board,https://albertaairb.ca/,Regulatory/Adjudicative,The Automobile Insurance Rate Board reviews and approves automobile insurance rates and rating programs for basic and additional coverage of private passenger vehicles.
Balancing Pool,https://www.balancingpool.ca/,Public Trust,"The Balancing Pool is responsible for managing the financial accounts arising from the transition to a competitive generation market, on behalf of electricity consumers as well as meeting any obligations and responsibilities associated with both sold and unsold Power Purchase Arrangements."
Banff Centre Board of Governors,https://www.banffcentre.ca/banff-centre-board-governors,Service Delivery,"The Banff Centre provides non-parchment programs in the arts and creativity, as well as leadership development, mountain culture and the environment. As a specialized Arts and Culture Institution, the Banff Centre is Alberta's renowned centre of excellence in creativity and the arts, drawing participants provincially, nationally and globally."
Beverage Container Management Board,https://www.bcmb.ab.ca/,Regulatory/Adjudicative,The Beverage Container Management Board is responsible for the provincial recycling program for beverage containers.
Birch Mountains Wildland Provincial Park Cooperative Management Board,https://www.albertaparks.ca/parks/north/birch-mountains-wpp/information-facilities/,Advisory,"The Birch Mountains Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities."
Birch River Wildland Provincial Park Cooperative Management Board,https://www.albertaparks.ca/parks/north/birch-river-wpp/,Advisory,"The Birch River Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities."
Board of Reference Roster,https://public-agency-list.alberta.ca/PublicAgencyBiographies?appointmentId=19324,Regulatory/Adjudicative,"The Board of Reference hears appeals about decisions of school boards related to a teacher’s suspension, termination of employment, termination of a teacher’s designation, or the refusal to release a teacher from an employment contract."
Bow Valley College Board of Governors,https://bowvalleycollege.ca/about-us/governance/board-of-governors,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Bow Valley College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
